時間,位置,速度
0.001,0.396992,-3.008
0.002,0.39397606016000003,-3.01593984
0.003,0.3909522407987968,-3.0238193612032003
0.004,0.38792060239277765,-3.031638406019176
0.005,0.3848812055747106,-3.039396818067032
0.006,0.3818341111325321,-3.047094442178526
0.007,0.3787793800081309,-3.054731124401177
0.008,0.3757170732961295,-3.062306712001339
0.009000000000000001,0.37264725224266226,-3.069821053467262
0.010000000000000002,0.36956997824415017,-3.077273998512115
0.011000000000000003,0.36648531284607316,-3.0846653980769982
0.012000000000000004,0.3633933177417392,-3.0919951043339196
0.013000000000000005,0.3602940547710505,-3.0992629706887542
0.014000000000000005,0.3571875859192663,-3.106468851784175
0.015000000000000006,0.35407397331576373,-3.1136126035025606
0.016000000000000007,0.35095327923279485,-3.120694082968876
0.017000000000000008,0.3478255660842413,-3.127713148553532
0.01800000000000001,0.34469089642436607,-3.134669659875217
0.01900000000000001,0.34154933294656237,-3.1415634778037043
0.02000000000000001,0.33840093848209973,-3.1483944644626356
0.02100000000000001,0.33524577599886746,-3.1551624832322775
0.022000000000000013,0.3320839086001152,-3.1618673987522548
0.023000000000000013,0.328915399523191,-3.168509076924257
0.024000000000000014,0.32574031213827626,-3.175087384914721
0.025000000000000015,0.32255870994711877,-3.1816021911574865
0.026000000000000016,0.31937065658176234,-3.188053365356429
0.027000000000000017,0.31617621580327426,-3.1944407784880644
0.028000000000000018,0.3129754515004701,-3.2007643028041297
0.02900000000000002,0.309768427688636,-3.207023811834139
0.03000000000000002,0.3065552085082481,-3.2132191803879118
0.03100000000000002,0.30333585822369,-3.2193502845580766
0.03200000000000002,0.30011044122196745,-3.2254170017225503
0.03300000000000002,0.29687902201142047,-3.2314192105469894
0.03400000000000002,0.2936416652204332,-3.237356790987218
0.035000000000000024,0.2903984355961416,-3.2432296242916268
0.036000000000000025,0.28714939800313805,-3.2490375930035498
0.037000000000000026,0.2838946174221744,-3.2547805809636126
0.03800000000000003,0.28063415894886234,-3.260458473312056
0.03900000000000003,0.2773680877923713,-3.266071156491033
0.04000000000000003,0.27409646927412445,-3.2716185182468807
0.04100000000000003,0.2708193688264921,-3.277100447632363
0.04200000000000003,0.2675368519914832,-3.282516835008893
0.04300000000000003,0.26424898441943445,-3.2878675720487225
0.04400000000000003,0.26095583186769733,-3.293152551737111
0.04500000000000003,0.25765746019932284,-3.298371668374465
0.046000000000000034,0.2543539353817444,-3.3035248175784515
0.047000000000000035,0.2510453234854583,-3.308611896286086
0.048000000000000036,0.24773169068270254,-3.3136328027557953
0.04900000000000004,0.24441310324613308,-3.3185874365694494
0.05000000000000004,0.2410896275474987,-3.3234756986343723
0.05100000000000004,0.2377613300563134,-3.3282974911853223
0.05200000000000004,0.23442827733852695,-3.3330527177864484
0.05300000000000004,0.23109053605519372,-3.337741283333219
0.05400000000000004,0.2277481729611394,-3.3423630940543227
0.05500000000000004,0.22440125490362584,-3.3469180575135455
0.05600000000000004,0.22104984882101422,-3.351406082611618
0.057000000000000044,0.21769402174142619,-3.355827079588038
0.058000000000000045,0.21433384078140333,-3.3601809600228667
0.059000000000000045,0.21096937314456482,-3.3644676368384947
0.060000000000000046,0.20760068612026344,-3.368687024301386
0.06100000000000005,0.20422784708223965,-3.372839038023791
0.06200000000000005,0.2008509234872742,-3.376923594965436
0.06300000000000004,0.19746998287383902,-3.3809406134351816
0.06400000000000004,0.19408509286074635,-3.3848900130926585
0.06500000000000004,0.1906963211457965,-3.3887717149498733
0.06600000000000004,0.1873037355044237,-3.392585641372789
0.06700000000000005,0.1839074037883408,-3.3963317160828774
0.06800000000000005,0.18050739392418216,-3.400009864158644
0.06900000000000005,0.17710377391214505,-3.403620012037128
0.07000000000000005,0.17369661182462967,-3.4071620875153705
0.07100000000000005,0.1702859758048778,-3.410636019751863
0.07200000000000005,0.16687193406560985,-3.4140417392679607
0.07300000000000005,0.16345455488766059,-3.417379177949273
0.07400000000000005,0.16003390661861355,-3.4206482690470263
0.07500000000000005,0.15661005767143416,-3.4238489471793985
0.07600000000000005,0.15318307652310134,-3.426981148332827
0.07700000000000005,0.14975303171323806,-3.430044809863289
